60,24-APR-2019,Cessna 551 Citation II/SP,D-IADV,private,0,Siegen-Siege...,,,A1
61,24-APR-2019,Beech B200 Super King Air,C-FRMV,Keewatin Air,0,Gillam Airpo...,,,A2
62,30-APR-2019,Boeing 737-73S (WL),EI-SEV,Ryanair,0,East Midland...,,,A2
63,30-APR-2019,Boeing 737-33A (WL),G-GDFB,Jet2,0,East Midland...,,,A2
64,03-MAY-2019,Boeing 737-81Q (WL),N732MA,Miami Air International,0,Jacksonville...,,,A1
65,03-MAY-2019,Douglas C-47A (DC-3),C-GJKM,Buffalo Airways,0,near Hay River Ai...,,,A2
66,04-MAY-2019,Learjet 45,C-GMCP,Skyservice Business Aviation,0,Edinburgh-Tu...,,,A2
67,05-MAY-2019,Sukhoi Superjet 100-95B,RA-89098,Aeroflot,41,Moskva-Shere...,,,A1
68,05-MAY-2019,Canadair Challenger 601-3A,N601VH,TVPX Aircraft Solutions,13,near Monclova,,,A1
69,07-MAY-2019,DHC-6 Twin Otter 300,C-GNDO,Air Inuit,0,near Kuujjuarapik...,,,A2
70,08-MAY-2019,DHC-8-402Q Dash 8,S2-AGQ,Biman Bangladesh,0,Yangon-Minga...,,,A1
71,08-MAY-2019,Antonov An-2R,YV2354,Unknown,0,near Uriman Airpo...,,,A1
72,10-MAY-2019,DHC-8-311 Dash 8,C-FJXZ,"Air Canada Express, opb Jazz Aviation",0,Toronto-Pear...,,,A2
73,11-MAY-2019,Cessna 208B Grand Caravan,C-FCPM,Parachutisme Nouvel Air,0,Saint-Esprit...,,,A2
74,13-MAY-2019,DHC-3T Vazar Turbine Otter,N959PA,Taquan Air,1,"near Ketchikan, AK",,,A1
75,18-MAY-2019,Gulfstream American G-1159 Gulfstre,unreg.,private,0,Chico de Cha...,,,C1
76,22-MAY-2019,Antonov An-2R,RA-68161,private,0,Zhuravskoye,,,A1
77,22-MAY-2019,Cessna S550 Citation S/II,N311G,private,2,near Indianapolis...,,,A1
78,24-MAY-2019,Cessna 560 Citation Encore,N832R,Jet Sales LLC,1,near Fort Lauderd...,,,A1
79,29-MAY-2019,Antonov An-124-100,5A-DKN,Libyan Air Cargo,0,Tripoli Inte...,,,C1
80,03-JUN-2019,Antonov An-32,K2752,Indian AF,13,near Lipo,,,A1
81,07-JUN-2019,Antonov An-2T,UR-KAU,TSO Ukrayiny,0,Svyatoshyns'...,,,A2
82,09-JUN-2019,Antonov An-2R,RA-81519,Feniks,0,"near Kyren, Tunki...",,,A2
83,09-JUN-2019,Boeing 737-924ER (WL),N75436,United Airlines,0,Denver Inter...,,,A2
84,11-JUN-2019,CASA C-212 Aviocar 200,N603AR,EP Aviation,0,Kiunga Airpo...,,,A2
85,13-JUN-2019,Beech B200 Super King Air,,Unknown,0,"Río Chixoy, ...",,,A1
86,15-JUN-2019,Boeing 757-224 (WL),N26123,United Airlines,0,Newark-Liber...,,,A1
